Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,ISIN,Issue Price,Issue Date
"Canada, Government of...",CAD,2.5000%,5.01%,Aaa,6/1/2024,99.07,99.08,CA135087B451,98.99,7/2/2013
"Canada, Government of...",CAD,2.2500%,4.84%,Aaa,3/1/2024,99.66,99.67,CA135087J546,98.99,10/5/2018
"Canada, Government of...",CAD,3.0000%,4.07%,Aaa,10/1/2025,98.23,98.35,CA135087P246,99.33,7/25/2022
"Canada, Government of...",CAD,4.5000%,3.86%,Aaa,2/1/2026,101.26,101.38,CA135087R226,99.79,11/1/2023
"Canada, Government of...",CAD,2.7500%,4.92%,Aaa,8/1/2024,98.85,98.86,CA135087N910,99.99,5/24/2022
"Canada, Government of...",CAD,3.7500%,4.36%,Aaa,5/1/2025,99.22,99.34,CA135087Q319,99.74,2/10/2023
"Canada, Government of...",CAD,3.5000%,4.17%,Aaa,8/1/2025,99.04,99.10,CA135087Q640,99.66,5/12/2023
"Canada, Government of...",CAD,9.0000%,4.21%,Aaa,6/1/2025,106.27,106.42,CA135087VH40,98.21,8/2/1994
"Canada, Government of...",CAD,0.7500%,-,Aaa,2/1/2024,99.74,99.86,CA135087M920,99.73,10/22/2021
"Canada, Government of...",CAD,0.2500%,3.80%,Aaa,3/1/2026,92.95,92.96,CA135087L518,99.03,10/9/2020
"Canada, Government of...",CAD,0.5000%,4.08%,Aaa,9/1/2025,94.40,94.52,CA135087K940,99.63,4/3/2020
"Canada, Government of...",CAD,0.7500%,4.71%,Aaa,10/1/2024,97.28,97.29,CA135087M508,99.97,7/12/2021
"Canada, Government of...",CAD,3.0000%,3.79%,Aaa,4/1/2026,98.35,98.47,CA135087P816,99.47,1/20/2023
"Canada, Government of...",CAD,1.5000%,4.98%,Aaa,5/1/2024,98.98,98.99,CA135087N423,99.85,2/22/2022
"Canada, Government of...",CAD,3.0000%,4.75%,Aaa,11/1/2024,98.68,98.69,CA135087P402,99.63,8/15/2022
"Canada, Government of...",CAD,0.2500%,4.66%,Aaa,4/1/2024,99.06,99.07,CA135087L690,99.86,10/16/2020
"Canada, Government of...",CAD,3.7500%,4.61%,Aaa,2/1/2025,99.17,99.18,CA135087P659,99.68,11/2/2022
"Canada, Government of...",CAD,1.5000%,3.70%,Aaa,6/1/2026,95.07,95.20,CA135087E679,97.86,7/21/2015
"Canada, Government of...",CAD,1.5000%,4.39%,Aaa,4/1/2025,96.64,96.70,CA135087N340,99.74,1/24/2022
"Canada, Government of...",CAD,2.2500%,4.25%,Aaa,6/1/2025,97.43,97.44,CA135087D507,98.85,6/30/2014
"Canada, Government of...",CAD,1.5000%,4.78%,Aaa,9/1/2024,97.99,98.00,CA135087J967,99.45,4/5/2019
"Canada, Government of...",CAD,1.2500%,4.41%,Aaa,3/1/2025,96.61,96.62,CA135087K528,99.62,10/11/2019
"Canada, Government of...",CAD,1.0000%,3.62%,Aaa,9/1/2026,93.53,93.67,CA135087L930,99.66,4/16/2021
"Canada, Government of...",CAD,4.5000%,4.04%,Aaa,11/1/2025,100.88,100.89,CA135087Q806,99.67,8/4/2023
"Canada, Government of...",CAD,2.5000%,3.29%,Aaa,12/1/2032,94.27,94.36,CA135087P329,97.96,8/8/2022
"Canada, Government of...",CAD,2.2500%,3.25%,Aaa,6/1/2029,95.32,95.46,CA135087J397,99.95,7/27/2018
"Canada, Government of...",CAD,1.2500%,3.59%,Aaa,3/1/2027,93.36,93.38,CA135087M847,99.66,10/15/2021
"Canada, Government of...",CAD,3.5000%,3.41%,Aaa,3/1/2028,100.51,100.58,CA135087P576,99.35,10/21/2022
"Canada, Government of...",CAD,5.7500%,3.32%,Aaa,6/1/2033,119.72,119.82,CA135087XG49,99.86,10/15/2001
"Canada, Government of...",CAD,2.2500%,3.20%,Aaa,12/1/2029,95.04,95.38,CA135087N670,99.58,3/29/2022
"Canada, Government of...",CAD,4.0000%,3.33%,Aaa,3/1/2029,103.39,103.44,CA135087Q988,99.42,10/13/2023
"Canada, Government of...",CAD,5.7500%,3.26%,Aaa,6/1/2029,112.37,112.47,CA135087WL43,99.81,2/2/1998
"Canada, Government of...",CAD,3.2500%,3.36%,Aaa,9/1/2028,99.75,99.84,CA135087Q491,100.00,4/21/2023
"Canada, Government of...",CAD,1.5000%,3.31%,Aaa,6/1/2031,88.50,88.65,CA135087M276,98.85,4/26/2021
"Canada, Government of...",CAD,2.0000%,3.30%,Aaa,6/1/2032,90.89,90.99,CA135087N597,98.29,3/16/2022
"Canada, Government of...",CAD,3.2500%,3.29%,Aaa,12/1/2033,100.03,100.08,CA135087Q723,97.97,6/26/2023
"Canada, Government of...",CAD,1.5000%,3.31%,Aaa,12/1/2031,87.83,87.96,CA135087N266,97.91,10/25/2021
"Canada, Government of...",CAD,2.0000%,3.33%,Aaa,6/1/2028,94.81,94.94,CA135087H235,99.27,8/1/2017
"Canada, Government of...",CAD,8.0000%,3.45%,Aaa,6/1/2027,114.41,114.56,CA135087VW17,97.88,5/1/1996
"Canada, Government of...",CAD,1.0000%,3.42%,Aaa,6/1/2027,92.35,92.68,CA135087F825,97.99,8/3/2016
"Canada, Government of...",CAD,0.5000%,3.29%,Aaa,12/1/2030,83.38,83.44,CA135087L443,98.96,10/5/2020
"Canada, Government of...",CAD,3.2450%,3.49%,,8/24/2027,99.27,99.41,CA135087P733,100.00,12/2/2022
"Canada, Government of...",CAD,2.7500%,3.49%,Aaa,9/1/2027,97.62,97.74,CA135087N837,99.30,5/13/2022
