Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,ISIN,Issue Price,Issue Date
"Canada, Government of...",CAD,4.5000%,4.02%,Aaa,11/1/2025,100.78,100.79,CA135087Q806,99.67,8/4/2023
"Canada, Government of...",CAD,2.5000%,5.02%,Aaa,6/1/2024,99.05,99.06,CA135087B451,98.99,7/2/2013
"Canada, Government of...",CAD,1.5000%,4.43%,Aaa,4/1/2025,96.58,96.63,CA135087N340,99.74,1/24/2022
"Canada, Government of...",CAD,3.5000%,4.16%,Aaa,8/1/2025,98.95,99.06,CA135087Q640,99.66,5/12/2023
"Canada, Government of...",CAD,4.5000%,3.84%,Aaa,2/1/2026,101.14,101.26,CA135087R226,99.79,11/1/2023
"Canada, Government of...",CAD,0.2500%,3.80%,Aaa,3/1/2026,92.81,92.82,CA135087L518,99.03,10/9/2020
"Canada, Government of...",CAD,2.7500%,4.92%,Aaa,8/1/2024,98.83,98.84,CA135087N910,99.99,5/24/2022
"Canada, Government of...",CAD,1.5000%,4.77%,Aaa,9/1/2024,97.98,98.06,CA135087J967,99.45,4/5/2019
"Canada, Government of...",CAD,3.0000%,3.78%,Aaa,4/1/2026,98.23,98.35,CA135087P816,99.47,1/20/2023
"Canada, Government of...",CAD,3.7500%,4.59%,Aaa,2/1/2025,99.13,99.14,CA135087P659,99.68,11/2/2022
"Canada, Government of...",CAD,2.2500%,4.88%,Aaa,3/1/2024,99.64,99.70,CA135087J546,98.99,10/5/2018
"Canada, Government of...",CAD,1.5000%,5.03%,Aaa,5/1/2024,98.95,98.96,CA135087N423,99.85,2/22/2022
"Canada, Government of...",CAD,3.0000%,4.07%,Aaa,10/1/2025,98.13,98.24,CA135087P246,99.33,7/25/2022
"Canada, Government of...",CAD,0.7500%,4.73%,Aaa,10/1/2024,97.23,97.24,CA135087M508,99.97,7/12/2021
"Canada, Government of...",CAD,0.5000%,4.11%,Aaa,9/1/2025,94.30,94.42,CA135087K940,99.63,4/3/2020
"Canada, Government of...",CAD,0.2500%,4.80%,Aaa,4/1/2024,99.02,99.03,CA135087L690,99.86,10/16/2020
"Canada, Government of...",CAD,2.2500%,4.23%,Aaa,6/1/2025,97.34,97.47,CA135087D507,98.85,6/30/2014
"Canada, Government of...",CAD,3.7500%,4.36%,Aaa,5/1/2025,99.15,99.27,CA135087Q319,99.74,2/10/2023
"Canada, Government of...",CAD,9.0000%,4.18%,Aaa,6/1/2025,106.24,106.39,CA135087VH40,98.21,8/2/1994
"Canada, Government of...",CAD,1.2500%,4.43%,Aaa,3/1/2025,96.54,96.55,CA135087K528,99.62,10/11/2019
"Canada, Government of...",CAD,2.2500%,4.23%,Aaa,6/1/2025,97.34,97.47,CA135087D507,98.85,6/30/2014
"Canada, Government of...",CAD,0.7500%,4.73%,Aaa,10/1/2024,97.23,97.24,CA135087M508,99.97,7/12/2021
"Canada, Government of...",CAD,3.7500%,4.36%,Aaa,5/1/2025,99.15,99.27,CA135087Q319,99.74,2/10/2023
"Canada, Government of...",CAD,9.0000%,4.18%,Aaa,6/1/2025,106.24,106.39,CA135087VH40,98.21,8/2/1994
"Canada, Government of...",CAD,2.2500%,3.20%,Aaa,12/1/2029,94.74,94.88,CA135087N670,99.58,3/29/2022
"Canada, Government of...",CAD,4.0000%,3.30%,Aaa,3/1/2029,103.14,103.19,CA135087Q988,99.42,10/13/2023
"Canada, Government of...",CAD,2.2500%,3.20%,Aaa,6/1/2029,95.00,95.25,CA135087J397,99.95,7/27/2018
"Canada, Government of...",CAD,5.7500%,3.27%,Aaa,6/1/2033,119.46,119.61,CA135087XG49,99.86,10/15/2001
"Canada, Government of...",CAD,0.5000%,3.25%,Aaa,12/1/2030,83.07,83.17,CA135087L443,98.96,10/5/2020
"Canada, Government of...",CAD,3.2450%,3.46%,,8/24/2027,99.07,99.21,CA135087P733,100.00,12/2/2022
"Canada, Government of...",CAD,8.0000%,3.40%,Aaa,6/1/2027,114.22,114.44,CA135087VW17,97.88,5/1/1996
"Canada, Government of...",CAD,2.0000%,3.29%,Aaa,6/1/2028,94.52,94.74,CA135087H235,99.27,8/1/2017
"Canada, Government of...",CAD,3.5000%,3.38%,Aaa,3/1/2028,100.30,100.37,CA135087P576,99.35,10/21/2022
"Canada, Government of...",CAD,3.2500%,3.32%,Aaa,9/1/2028,99.51,99.63,CA135087Q491,100.00,4/21/2023
"Canada, Government of...",CAD,5.7500%,3.23%,Aaa,6/1/2029,112.08,112.20,CA135087WL43,99.81,2/2/1998
"Canada, Government of...",CAD,1.0000%,3.44%,Aaa,6/1/2027,92.13,92.36,CA135087F825,97.99,8/3/2016
"Canada, Government of...",CAD,1.5000%,3.27%,Aaa,12/1/2031,87.61,87.74,CA135087N266,97.91,10/25/2021
"Canada, Government of...",CAD,1.2500%,3.56%,Aaa,3/1/2027,93.18,93.20,CA135087M847,99.66,10/15/2021
"Canada, Government of...",CAD,2.0000%,3.25%,Aaa,6/1/2032,90.43,90.83,CA135087N597,98.29,3/16/2022
"Canada, Government of...",CAD,2.7500%,3.46%,Aaa,9/1/2027,97.43,97.55,CA135087N837,99.30,5/13/2022
"Canada, Government of...",CAD,2.5000%,3.24%,Aaa,12/1/2032,94.04,94.18,CA135087P329,97.96,8/8/2022
"Canada, Government of...",CAD,1.5000%,3.27%,Aaa,6/1/2031,88.29,88.41,CA135087M276,98.85,4/26/2021
"Canada, Government of...",CAD,3.2500%,3.25%,Aaa,12/1/2033,99.79,99.84,CA135087Q723,97.97,6/26/2023
