Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,68.750000,70.160004,68.750000,69.660004,69.660004,2200
2023-04-11,70.050003,71.610001,69.709999,70.669998,70.669998,2100
2023-04-12,70.000000,70.000000,66.699997,66.709999,66.709999,6500
2023-04-13,66.580002,71.089996,66.500000,70.540001,70.540001,8200
2023-04-14,69.830002,72.250000,67.910004,68.339996,68.339996,7600
2023-04-17,68.599998,69.500000,68.269997,69.309998,69.309998,3000
2023-04-18,69.500000,70.290001,69.500000,70.000000,70.000000,3900
2023-04-19,69.800003,71.199997,69.790001,69.940002,69.940002,3900
2023-04-20,69.070000,69.070000,68.320000,68.660004,68.660004,1700
2023-04-21,68.949997,69.690002,68.220001,69.690002,69.690002,1400
2023-04-24,68.010002,70.389999,67.870003,68.120003,68.120003,7700
2023-04-25,67.769997,67.779999,66.699997,67.430000,67.430000,3600
2023-04-26,67.000000,67.769997,64.500000,64.610001,64.610001,5000
2023-04-27,67.910004,67.910004,59.250000,62.580002,62.580002,12500
2023-04-28,61.270000,61.459999,59.000000,59.169998,59.169998,3100
2023-05-01,59.169998,62.119999,59.169998,60.970001,60.970001,3600
2023-05-02,60.419998,60.450001,58.220001,59.070000,59.070000,4500
2023-05-03,59.070000,61.380001,59.070000,60.160000,60.160000,3100
2023-05-04,59.150002,60.349998,56.799999,57.490002,57.490002,3500
2023-05-05,56.980000,58.580002,56.980000,58.369999,58.369999,3600
2023-05-08,59.189999,59.439999,56.700001,57.419998,57.419998,8800
2023-05-09,57.099998,57.650002,56.529999,56.529999,56.529999,1500
2023-05-10,56.529999,56.869999,55.599998,55.599998,55.599998,3400
2023-05-11,55.799999,56.060001,55.439999,55.680000,55.680000,2400
2023-05-12,56.000000,56.349998,55.240002,55.400002,55.400002,3200
2023-05-15,55.150002,56.880001,55.150002,56.160000,56.160000,2500
2023-05-16,55.910000,57.060001,55.910000,56.750000,56.750000,3100
2023-05-17,56.779999,58.500000,56.779999,58.180000,58.180000,3900
2023-05-18,60.000000,60.639999,58.790001,60.340000,60.340000,8700
2023-05-19,61.189999,61.200001,59.900002,60.349998,60.349998,2800
2023-05-23,59.560001,59.689999,57.840000,58.180000,58.180000,2700
2023-05-24,57.500000,57.500000,56.250000,56.759998,56.759998,4500
2023-05-25,56.389999,56.950001,55.500000,56.509998,56.509998,2200
2023-05-26,57.000000,57.340000,56.419998,56.419998,56.419998,1900
2023-05-29,56.750000,56.750000,56.000000,56.750000,56.750000,2800
2023-05-30,55.959999,56.110001,54.930000,55.150002,55.150002,2600
2023-05-31,54.740002,54.740002,53.189999,54.169998,54.169998,2200
2023-06-01,53.910000,55.639999,53.910000,55.470001,55.470001,2600
2023-06-02,56.580002,57.400002,55.230000,57.349998,57.349998,2800
2023-06-05,58.230000,58.230000,55.930000,56.389999,56.389999,3700
2023-06-06,56.580002,60.259998,56.580002,59.470001,59.470001,6700
2023-06-07,59.430000,60.040001,58.570000,59.080002,59.080002,5900
2023-06-08,59.000000,59.930000,58.570000,59.380001,59.380001,1400
2023-06-09,59.790001,61.060001,59.490002,59.509998,59.509998,3900
2023-06-12,60.200001,62.619999,60.160000,62.009998,62.009998,4000
2023-06-13,62.799999,64.519997,62.799999,64.309998,64.309998,4600
2023-06-14,64.349998,66.849998,64.349998,66.330002,66.330002,4300
2023-06-15,67.989998,67.989998,66.000000,67.300003,67.300003,3300
2023-06-16,67.489998,67.500000,65.230003,65.440002,65.440002,3300
2023-06-19,65.000000,65.730003,65.000000,65.570000,65.570000,400
