Date,Open,High,Low,Close,Adj Close,Volume
2024-01-09,0.770000,0.780000,0.770000,0.780000,0.780000,47500
2024-01-10,0.770000,0.790000,0.760000,0.790000,0.790000,85000
2024-01-11,0.770000,0.790000,0.770000,0.790000,0.790000,68700
2024-01-12,0.790000,0.800000,0.775000,0.800000,0.800000,450600
2024-01-15,0.790000,0.900000,0.790000,0.900000,0.900000,213300
2024-01-16,0.900000,0.930000,0.890000,0.920000,0.920000,98800
2024-01-17,0.900000,0.900000,0.860000,0.870000,0.870000,96400
2024-01-18,0.890000,0.890000,0.820000,0.840000,0.840000,56500
2024-01-19,0.870000,0.890000,0.830000,0.890000,0.890000,76100
2024-01-22,0.900000,0.900000,0.880000,0.880000,0.880000,19600
2024-01-23,0.880000,0.900000,0.870000,0.870000,0.870000,28700
2024-01-24,0.880000,0.930000,0.860000,0.920000,0.920000,143800
2024-01-25,0.900000,0.940000,0.900000,0.930000,0.930000,139000
2024-01-26,0.910000,0.910000,0.880000,0.900000,0.900000,108500
2024-01-29,0.880000,0.890000,0.830000,0.850000,0.850000,113100
2024-01-30,0.840000,0.850000,0.820000,0.830000,0.830000,33700
2024-01-31,0.820000,0.820000,0.800000,0.800000,0.800000,104000
2024-02-01,0.800000,0.810000,0.800000,0.810000,0.810000,20300
2024-02-02,0.830000,0.830000,0.800000,0.820000,0.820000,31600
2024-02-05,0.840000,0.840000,0.800000,0.820000,0.820000,36300
2024-02-06,0.810000,0.830000,0.810000,0.825000,0.825000,24900
2024-02-07,0.810000,0.840000,0.810000,0.840000,0.840000,47100
2024-02-08,0.850000,0.860000,0.830000,0.860000,0.860000,27600
2024-02-09,0.840000,0.860000,0.840000,0.860000,0.860000,33500
2024-02-12,0.820000,0.870000,0.820000,0.870000,0.870000,18700
2024-02-13,0.850000,0.870000,0.840000,0.870000,0.870000,58000
2024-02-14,0.870000,0.950000,0.860000,0.920000,0.920000,303800
2024-02-15,0.940000,0.940000,0.890000,0.890000,0.890000,89700
2024-02-16,0.890000,0.890000,0.870000,0.880000,0.880000,59800
2024-02-20,0.880000,0.890000,0.870000,0.870000,0.870000,19400
2024-02-21,0.870000,0.870000,0.850000,0.850000,0.850000,61200
2024-02-22,0.870000,0.880000,0.850000,0.860000,0.860000,70300
2024-02-23,0.850000,0.860000,0.840000,0.840000,0.840000,37300
2024-02-26,0.860000,0.860000,0.840000,0.840000,0.840000,44700
2024-02-27,0.840000,0.850000,0.800000,0.820000,0.820000,112400
2024-02-28,0.830000,0.840000,0.820000,0.820000,0.820000,25600
2024-02-29,0.810000,0.830000,0.810000,0.820000,0.820000,19000
2024-03-01,0.820000,0.820000,0.810000,0.810000,0.810000,40500
2024-03-04,0.810000,0.820000,0.800000,0.810000,0.810000,41000
2024-03-05,0.810000,0.830000,0.800000,0.810000,0.810000,104300
2024-03-06,0.810000,0.810000,0.800000,0.800000,0.800000,119100
2024-03-07,0.810000,0.810000,0.800000,0.810000,0.810000,45800
2024-03-08,0.810000,0.810000,0.800000,0.800000,0.800000,55600
2024-03-11,0.790000,0.790000,0.780000,0.790000,0.790000,70800
2024-03-12,0.790000,0.790000,0.780000,0.780000,0.780000,28500
2024-03-13,0.790000,0.790000,0.770000,0.780000,0.780000,33600
2024-03-14,0.780000,0.780000,0.760000,0.760000,0.760000,36200
2024-03-15,0.780000,0.780000,0.750000,0.750000,0.750000,141700
2024-03-18,0.730000,0.740000,0.720000,0.730000,0.730000,77900
2024-03-19,0.710000,0.730000,0.700000,0.700000,0.700000,66000
2024-03-20,0.700000,0.760000,0.700000,0.760000,0.760000,91400
2024-03-21,0.770000,0.810000,0.770000,0.770000,0.770000,37100
2024-03-22,0.770000,0.770000,0.750000,0.760000,0.760000,7500
2024-03-25,0.760000,0.760000,0.720000,0.740000,0.740000,41800
